Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,TeamName,Year
WP Saha,14,13,0,249,42,19.15,197,126.39,0,0,0,16,10,Kings XI Punjab,2015
DJG Sammy,2,2,0,13,7,6.50,18,72.22,0,0,0,0,0,Royal Challengers Bangalore,2015
SV Samson,14,11,1,204,76,20.40,163,125.15,0,1,0,16,8,Rajasthan Royals,2015
Sandeep Sharma,14,3,2,9,7,9.00,14,64.28,0,0,0,1,0,Kings XI Punjab,2015
GS Sandhu,3,0,0,0,0,0,0,0,0,0,0,0,0,Delhi Daredevils,2015
V Sehwag,8,8,0,99,47,12.37,84,117.85,0,0,1,12,3,Kings XI Punjab,2015
Shakib Al Hasan,4,3,0,36,23,12.00,27,133.33,0,0,1,5,0,Kolkata Knight Riders,2015
I Sharma,4,0,0,0,0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,2015
KV Sharma,14,9,3,104,32,17.33,85,122.35,0,0,0,3,6,Sunrisers Hyderabad,2015
MM Sharma,16,6,3,28,21,9.33,18,155.55,0,0,2,1,2,Chennai Super Kings,2015
RG Sharma,16,16,2,482,98,34.42,333,144.74,0,3,2,41,21,Mumbai Indians,2015
Shivam Sharma,1,0,0,0,0,0,0,0,0,0,0,0,0,Kings XI Punjab,2015
LMP Simmons,13,13,1,540,71,45.00,441,122.44,0,6,1,56,21,Mumbai Indians,2015
DR Smith,16,16,0,399,62,24.93,335,119.10,0,2,3,52,16,Chennai Super Kings,2015
SPD Smith,14,12,1,293,79,26.63,221,132.57,0,2,1,33,3,Rajasthan Royals,2015
TG Southee,7,3,2,13,7,13.00,9,144.44,0,0,0,1,0,Rajasthan Royals,2015
BB Sran,1,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan Royals,2015
MA Starc,13,3,2,11,9,11.00,14,78.57,0,0,0,1,0,Royal Challengers Bangalore,2015
DW Steyn,6,3,2,20,19,20.00,13,153.84,0,0,1,3,0,Sunrisers Hyderabad,2015
J Suchith,13,6,5,48,34,48.00,32,150.00,0,0,0,4,2,Mumbai Indians,2015
P Suyal,3,0,0,0,0,0,0,0,0,0,0,0,0,Mumbai Indians,2015
PV Tambe,10,2,2,3,2,0,5,60.00,0,0,0,0,0,Rajasthan Royals,2015
AP Tare,2,2,0,14,7,7.00,17,82.35,0,0,0,1,0,Mumbai Indians,2015
RN ten Doeschate,6,5,2,61,38,20.33,45,135.55,0,0,1,4,3,Kolkata Knight Riders,2015
R Tewatia,1,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan Royals,2015
SN Thakur,1,1,1,7,7,0,6,116.66,0,0,0,1,0,Kings XI Punjab,2015
J Theron,1,1,1,1,1,0,1,100.00,0,0,0,0,0,Rajasthan Royals,2015
MK Tiwary,5,3,1,57,32,28.50,56,101.78,0,0,0,8,1,Delhi Daredevils,2015
SS Tiwary,7,6,6,109,28,0,78,139.74,0,0,0,9,5,Delhi Daredevils,2015
JD Unadkat,1,0,0,0,0,0,0,0,0,0,0,0,0,Delhi Daredevils,2015
RV Uthappa,13,13,1,364,80,30.33,277,131.40,0,1,0,42,7,Kolkata Knight Riders,2015
GH Vihari,5,4,0,39,16,9.75,35,111.42,0,0,0,6,0,Sunrisers Hyderabad,2015
M Vijay,11,11,0,251,39,22.81,228,110.08,0,0,1,27,8,Kings XI Punjab,2015
R Vinay Kumar,13,3,2,0,0,0.00,2,0.00,0,0,1,0,0,Mumbai Indians,2015
M Vohra,7,7,0,82,39,11.71,81,101.23,0,0,0,4,5,Kings XI Punjab,2015
DA Warner,14,14,1,562,91,43.23,359,156.54,0,7,0,65,21,Sunrisers Hyderabad,2015
SR Watson,10,9,1,347,104,43.37,257,135.01,1,1,0,37,14,Rajasthan Royals,2015
D Wiese,14,7,3,122,47,30.50,86,141.86,0,0,0,12,4,Royal Challengers Bangalore,2015
KS Williamson,2,2,1,31,26,31.00,27,114.81,0,0,0,1,1,Sunrisers Hyderabad,2015
J Yadav,3,0,0,0,0,0,0,0,0,0,0,0,0,Delhi Daredevils,2015
SA Yadav,13,13,4,157,46,17.44,113,138.93,0,0,1,12,8,Kolkata Knight Riders,2015
UT Yadav,12,4,3,29,24,29.00,14,207.14,0,0,1,5,1,Kolkata Knight Riders,2015
Yuvraj Singh,14,13,0,248,57,19.07,210,118.09,0,2,1,23,10,Delhi Daredevils,2015
S Ladda,1,0,0,0,0,0,0,0,0,0,0,0,0,Gujarat Lions,2016
VR Aaron,8,1,1,0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,2016
KJ Abbott,5,3,2,13,12,13.00,8,162.50,0,0,1,0,1,Kings XI Punjab,2016
AD Nath,4,3,0,20,12,6.66,27,74.07,0,0,0,1,0,Gujarat Lions,2016
MA Agarwal,3,3,0,27,10,9.00,25,108.00,0,0,0,3,1,Delhi Daredevils,2016
HM Amla,6,6,0,157,96,26.16,119,131.93,0,1,1,20,4,Kings XI Punjab,2016
Ankit Sharma,3,1,1,3,3,0,3,100.00,0,0,0,0,0,Rising Pune Supergiants,2016
Anureet Singh,2,0,0,0,0,0,0,0,0,0,0,0,0,Kings XI Punjab,2016
S Aravind,9,0,0,0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,2016
A Ashish Reddy,4,3,1,47,32,23.50,29,162.06,0,0,0,2,4,Sunrisers Hyderabad,2016
M Ashwin,10,1,0,0,0,0.00,1,0.00,0,0,1,0,0,Rising Pune Supergiants,2016
R Ashwin,14,6,4,41,29,20.50,38,107.89,0,0,1,3,1,Rising Pune Supergiants,2016
GJ Bailey,6,5,1,84,34,21.00,98,85.71,0,0,1,9,2,Rising Pune Supergiants,2016
F Behardien,3,3,1,14,9,7.00,13,107.69,0,0,1,2,0,Kings XI Punjab,2016
R Bhatia,10,6,5,34,21,34.00,20,170.00,0,0,0,1,2,Rising Pune Supergiants,2016
SW Billings,5,4,0,88,54,22.00,64,137.50,0,1,0,4,4,Delhi Daredevils,2016
STR Binny,14,6,2,63,21,15.75,39,161.53,0,0,0,5,4,Royal Challengers Bangalore,2016
Bipul Sharma,7,4,2,51,27,25.50,25,204.00,0,0,0,1,5,Sunrisers Hyderabad,2016
SM Boland,2,0,0,0,0,0,0,0,0,0,0,0,0,Rising Pune Supergiants,2016
TA Boult,1,0,0,0,0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,2016
CR Brathwaite,8,6,0,83,34,13.83,38,218.42,0,0,0,6,8,Delhi Daredevils,2016
DJ Bravo,15,13,5,99,22,12.37,82,120.73,0,0,1,11,1,Gujarat Lions,2016
JJ Bumrah,14,2,1,8,6,8.00,11,72.72,0,0,0,1,0,Mumbai Indians,2016
JC Buttler,14,14,3,255,41,23.18,184,138.58,0,0,1,23,11,Mumbai Indians,2016
KC Cariappa,5,2,1,13,12,13.00,11,118.18,0,0,0,0,1,Kings XI Punjab,2016
YS Chahal,13,0,0,0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,2016
DL Chahar,2,0,0,0,0,0,0,0,0,0,0,0,0,Rising Pune Supergiants,2016
UBT Chand,1,1,0,0,0,0.00,4,0.00,0,0,1,0,0,Mumbai Indians,2016
PP Chawla,12,3,0,27,11,9.00,26,103.84,0,0,0,4,0,Kolkata Knight Riders,2016
NM Coulter-Nile,4,2,2,9,7,0,14,64.28,0,0,0,1,0,Delhi Daredevils,2016
BCJ Cutting,4,4,2,65,39,32.50,34,191.17,0,0,1,4,6,Sunrisers Hyderabad,2016
Q de Kock,13,13,1,445,108,37.08,327,136.08,1,3,0,52,13,Delhi Daredevils,2016
AB de Villiers,16,16,3,687,129,52.84,407,168.79,1,6,1,57,37,Royal Challengers Bangalore,2016
R Dhawan,2,2,2,14,11,0,6,233.33,0,0,0,0,1,Kings XI Punjab,2016
S Dhawan,17,17,4,501,82,38.53,429,116.78,0,4,1,51,8,Sunrisers Hyderabad,2016
MS Dhoni,14,12,5,284,64,40.57,210,135.23,0,1,0,18,14,Rising Pune Supergiants,2016
AB Dinda,9,0,0,0,0,0,0,0,0,0,0,0,0,Rising Pune Supergiants,2016
JP Duminy,10,8,3,191,49,38.20,156,122.43,0,0,0,13,3,Delhi Daredevils,2016
F du Plessis,6,6,0,206,69,34.33,162,127.16,0,2,0,17,9,Rising Pune Supergiants,2016
ER Dwivedi,4,2,0,24,19,12.00,14,171.42,0,0,0,2,2,Gujarat Lions,2016
JP Faulkner,7,5,2,77,32,25.66,59,130.50,0,0,0,7,0,Gujarat Lions,2016
AJ Finch,13,12,2,393,74,39.30,299,131.43,0,5,2,45,11,Gujarat Lions,2016
G Gambhir,15,15,2,501,90,38.53,411,121.89,0,5,1,54,6,Kolkata Knight Riders,2016
CH Gayle,10,10,0,227,76,22.70,150,151.33,0,2,1,17,21,Royal Challengers Bangalore,2016
S Gopal,1,1,0,2,2,2.00,16,12.50,0,0,0,0,0,Mumbai Indians,2016
MJ Guptill,3,3,0,57,48,19.00,55,103.63,0,0,0,3,3,Mumbai Indians,2016
Gurkeerat Singh,7,6,1,113,51,22.60,86,131.39,0,1,1,11,3,Kings XI Punjab,2016
PSP Handscomb,2,1,0,6,6,6.00,12,50.00,0,0,0,0,0,Rising Pune Supergiants,2016
Harbhajan Singh,14,7,4,92,45,30.66,84,109.52,0,0,1,11,2,Mumbai Indians,2016
JW Hastings,2,0,0,0,0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,2016
TM Head,3,3,1,54,37,27.00,40,135.00,0,0,0,3,2,Royal Challengers Bangalore,2016
MC Henriques,17,15,3,182,31,15.16,158,115.18,0,0,1,15,6,Sunrisers Hyderabad,2016
GB Hogg,5,1,1,0,0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,2016
JO Holder,4,4,0,22,13,5.50,19,115.78,0,0,1,2,1,Kolkata Knight Riders,2016
DJ Hooda,17,15,1,144,34,10.28,121,119.00,0,0,0,9,5,Sunrisers Hyderabad,2016
Imran Tahir,4,1,0,5,5,5.00,7,71.42,0,0,0,1,0,Delhi Daredevils,2016
Iqbal Abdulla,8,2,2,37,33,0,27,137.03,0,0,0,4,1,Royal Challengers Bangalore,2016
Ishan Kishan,5,5,0,42,27,8.40,41,102.43,0,0,1,5,0,Gujarat Lions,2016
SS Iyer,6,6,0,30,19,5.00,43,69.76,0,0,3,2,1,Delhi Daredevils,2016
RA Jadeja,15,15,6,191,36,21.22,177,107.90,0,0,1,14,4,Gujarat Lions,2016
KM Jadhav,4,3,3,42,25,0,32,131.25,0,0,0,2,2,Royal Challengers Bangalore,2016
SB Jakati,6,1,1,1,1,0,2,50.00,0,0,0,0,0,Gujarat Lions,2016
MG Johnson,3,3,1,5,4,2.50,14,35.71,0,0,0,0,0,Kings XI Punjab,2016
CJ Jordan,9,1,0,3,3,3.00,4,75.00,0,0,0,0,0,Royal Challengers Bangalore,2016
KD Karthik,16,15,2,335,53,25.76,266,125.93,0,3,1,38,3,Gujarat Lions,2016
S Kaushik,7,2,1,0,0,0.00,1,0.00,0,0,1,0,0,Gujarat Lions,2016
SN Khan,5,4,2,66,35,33.00,31,212.90,0,0,0,7,4,Royal Challengers Bangalore,2016
Z Khan,12,2,0,6,4,3.00,13,46.15,0,0,0,1,0,Delhi Daredevils,2016
UT Khawaja,6,6,0,127,30,21.16,100,127.00,0,0,0,14,3,Rising Pune Supergiants,2016
V Kohli,16,16,4,973,113,81.08,640,152.03,4,7,1,83,38,Royal Challengers Bangalore,2016
Kuldeep Yadav,3,0,0,0,0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,2016
DS Kulkarni,14,5,3,27,10,13.50,16,168.75,0,0,0,3,0,Gujarat Lions,2016
B Kumar,17,8,2,43,21,7.16,27,159.25,0,0,0,6,1,Sunrisers Hyderabad,2016
P Kumar,16,7,3,24,15,6.00,26,92.30,0,0,1,3,0,Gujarat Lions,2016
CA Lynn,2,2,1,25,15,25.00,22,113.63,0,0,0,0,1,Kolkata Knight Riders,2016
MJ McClenaghan,14,5,2,34,20,11.33,23,147.82,0,0,0,2,3,Mumbai Indians,2016
BB McCullum,16,16,0,354,60,22.12,262,135.11,0,1,1,38,16,Gujarat Lions,2016
Mandeep Singh,1,0,0,0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,2016
MR Marsh,3,1,0,7,7,7.00,11,63.63,0,0,0,0,0,Rising Pune Supergiants,2016
SE Marsh,6,6,1,159,56,31.80,134,118.65,0,1,0,13,4,Kings XI Punjab,2016
GJ Maxwell,11,11,2,179,68,19.88,124,144.35,0,2,3,14,8,Kings XI Punjab,2016
DA Miller,14,13,3,161,31,16.10,131,122.90,0,0,1,11,4,Kings XI Punjab,2016
AF Milne,1,0,0,0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,2016
A Mishra,14,2,0,4,3,2.00,14,28.57,0,0,0,0,0,Delhi Daredevils,2016
Mohammed Shami,8,2,2,2,2,0,4,50.00,0,0,0,0,0,Delhi Daredevils,2016
EJG Morgan,7,6,1,123,51,24.60,105,117.14,0,1,1,8,4,Sunrisers Hyderabad,2016
JA Morkel,2,1,0,16,16,16.00,9,177.77,0,0,0,0,2,Rising Pune Supergiants,2016
M Morkel,10,2,2,1,1,0,1,100.00,0,0,0,0,0,Kolkata Knight Riders,2016
CH Morris,12,7,4,195,82,65.00,109,178.89,0,1,1,15,12,Delhi Daredevils,2016
C Munro,4,3,0,30,16,10.00,30,100.00,0,0,0,3,0,Kolkata Knight Riders,2016
Mustafizur Rahman,16,0,0,0,0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,2016
S Nadeem,4,1,1,1,1,0,5,20.00,0,0,0,0,0,Delhi Daredevils,2016
NS Naik,2,2,0,23,22,11.50,31,74.19,0,0,0,1,0,Kings XI Punjab,2016
KK Nair,14,12,2,357,83,35.70,297,120.20,0,3,0,40,6,Delhi Daredevils,2016
SP Narine,11,4,3,7,4,7.00,13,53.84,0,0,0,0,0,Kolkata Knight Riders,2016
P Negi,8,6,4,57,19,28.50,59,96.61,0,0,0,2,3,Delhi Daredevils,2016
A Nehra,8,2,2,1,1,0,1,100.00,0,0,0,0,0,Sunrisers Hyderabad,2016
NV Ojha,17,13,3,136,37,13.60,138,98.55,0,0,1,7,5,Sunrisers Hyderabad,2016
MK Pandey,12,11,3,248,52,31.00,183,135.51,0,2,1,17,9,Kolkata Knight Riders,2016
HH Pandya,11,9,2,44,9,6.28,63,69.84,0,0,0,4,0,Mumbai Indians,2016
KH Pandya,12,9,3,237,86,39.50,124,191.12,0,1,0,22,13,Mumbai Indians,2016
RR Pant,10,10,2,198,69,24.75,152,130.26,0,1,0,19,6,Delhi Daredevils,2016
Parvez Rasool,4,1,0,10,10,10.00,9,111.11,0,0,0,1,0,Royal Challengers Bangalore,2016
AR Patel,14,10,3,111,36,15.85,77,144.15,0,0,2,4,8,Kings XI Punjab,2016
HV Patel,5,1,1,0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,2016
PA Patel,10,10,0,177,81,17.70,152,116.44,0,1,1,23,4,Mumbai Indians,2016
IK Pathan,4,3,0,11,7,3.66,13,84.61,0,0,0,0,0,Rising Pune Supergiants,2016
YK Pathan,15,13,8,361,63,72.20,248,145.56,0,3,0,33,13,Kolkata Knight Riders,2016
NLTC Perera,12,10,3,150,34,21.42,93,161.29,0,0,0,7,11,Rising Pune Supergiants,2016
KP Pietersen,4,4,2,73,37,36.50,61,119.67,0,0,0,4,3,Rising Pune Supergiants,2016
KA Pollard,13,12,4,207,51,25.87,144,143.75,0,1,0,11,16,Mumbai Indians,2016
AM Rahane,14,14,3,480,74,43.63,379,126.64,0,6,2,54,9,Rising Pune Supergiants,2016
KL Rahul,14,12,3,397,68,44.11,271,146.49,0,4,1,37,16,Royal Challengers Bangalore,2016
SK Raina,15,15,1,399,75,28.50,312,127.88,0,3,0,39,10,Gujarat Lions,2016
AS Rajpoot,4,0,0,0,0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,2016
N Rana,4,3,0,104,70,34.66,75,138.66,0,1,0,7,8,Mumbai Indians,2016
AT Rayudu,13,12,1,334,65,30.36,278,120.14,0,2,1,28,12,Mumbai Indians,2016
KW Richardson,4,1,1,1,1,0,1,100.00,0,0,0,0,0,Royal Challengers Bangalore,2016
AD Russell,12,8,1,188,39,26.85,114,164.91,0,0,0,10,15,Kolkata Knight Riders,2016
Sachin Baby,11,6,2,119,33,29.75,79,150.63,0,0,1,9,5,Royal Challengers Bangalore,2016
WP Saha,12,12,1,270,56,24.54,212,127.35,0,2,0,29,1,Kings XI Punjab,2016
P Sahu,5,2,1,19,18,19.00,13,146.15,0,0,0,1,1,Kings XI Punjab,2016
SV Samson,14,14,3,291,60,26.45,259,112.35,0,1,0,20,8,Delhi Daredevils,2016
Sandeep Sharma,14,4,4,8,5,0,9,88.88,0,0,0,0,0,Kings XI Punjab,2016
PJ Sangwan,2,0,0,0,0,0,0,0,0,0,0,0,0,Gujarat Lions,2016
R Sathish,4,3,0,24,10,8.00,24,100.00,0,0,0,1,1,Kolkata Knight Riders,2016
T Shamsi,4,0,0,0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,2016
Shakib Al Hasan,10,7,2,114,66,22.80,106,107.54,0,1,0,7,5,Kolkata Knight Riders,2016
I Sharma,4,1,1,0,0,0,0,0,0,0,0,0,0,Rising Pune Supergiants,2016
KV Sharma,5,3,3,36,26,0,30,120.00,0,0,0,3,1,Sunrisers Hyderabad,2016
MM Sharma,14,6,2,32,15,8.00,26,123.07,0,0,0,3,1,Kings XI Punjab,2016
RG Sharma,14,14,3,489,85,44.45,368,132.88,0,5,1,49,16,Mumbai Indians,2016
LMP Simmons,1,1,0,8,8,8.00,8,100.00,0,0,0,0,1,Mumbai Indians,2016
RP Singh,4,0,0,0,0,0,0,0,0,0,0,0,0,Rising Pune Supergiants,2016
DR Smith,12,12,1,324,73,29.45,221,146.60,0,3,1,35,16,Gujarat Lions,2016
SPD Smith,8,7,1,270,101,45.00,176,153.40,1,0,0,27,8,Rising Pune Supergiants,2016
TG Southee,11,4,1,30,25,10.00,19,157.89,0,0,0,1,2,Mumbai Indians,2016
BB Sran,14,4,4,4,2,0,4,100.00,0,0,0,0,0,Sunrisers Hyderabad,2016
DW Steyn,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0,Gujarat Lions,2016
MP Stoinis,7,5,1,146,52,36.50,108,135.18,0,1,1,13,4,Kings XI Punjab,2016
J Suchith,1,0,0,0,0,0,0,0,0,0,0,0,0,Mumbai Indians,2016
Swapnil Singh,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,Kings XI Punjab,2016
PV Tambe,7,1,1,7,7,0,19,36.84,0,0,0,1,0,Gujarat Lions,2016
AP Tare,3,2,0,8,8,4.00,15,53.33,0,0,1,1,0,Sunrisers Hyderabad,2016
SS Tiwary,10,8,1,170,57,24.28,141,120.56,0,2,0,17,4,Rising Pune Supergiants,2016
JD Unadkat,1,0,0,0,0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,2016
RV Uthappa,15,15,0,394,72,26.26,289,136.33,0,3,1,45,8,Kolkata Knight Riders,2016
M Vijay,14,14,1,453,89,34.84,364,124.45,0,5,0,50,10,Kings XI Punjab,2016
R Vinay Kumar,3,2,1,13,12,13.00,12,108.33,0,0,0,0,1,Mumbai Indians,2016
M Vohra,7,7,0,161,51,23.00,131,122.90,0,1,1,19,3,Kings XI Punjab,2016
DA Warner,17,17,3,848,93,60.57,560,151.42,0,9,1,88,31,Sunrisers Hyderabad,2016
SR Watson,16,15,2,179,36,13.76,134,133.58,0,0,1,14,12,Royal Challengers Bangalore,2016
D Wiese,1,1,1,5,5,0,4,125.00,0,0,0,0,0,Royal Challengers Bangalore,2016
KS Williamson,6,6,0,124,50,20.66,122,101.63,0,1,0,14,0,Sunrisers Hyderabad,2016
J Yadav,5,2,0,6,5,3.00,10,60.00,0,0,0,0,0,Delhi Daredevils,2016
SA Yadav,15,11,4,182,60,26.00,143,127.27,0,1,0,18,5,Kolkata Knight Riders,2016
UT Yadav,9,2,1,9,7,9.00,5,180.00,0,0,0,0,1,Kolkata Knight Riders,2016
Yuvraj Singh,10,10,1,236,44,26.22,179,131.84,0,0,0,22,13,Sunrisers Hyderabad,2016
A Zampa,5,1,0,0,0,0.00,1,0.00,0,0,1,0,0,Rising Pune Supergiants,2016
AR Bawne,1,1,1,12,12,0,12,100.00,0,0,0,1,0,Delhi Daredevils,2017
VR Aaron,6,2,1,4,4,4.00,10,40.00,0,0,0,0,0,Kings XI Punjab,2017
AD Nath,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,Gujarat Lions,2017
MA Agarwal,3,3,0,26,20,8.66,27,96.29,0,0,1,3,0,Rising Pune Supergiant,2017
SS Agarwal,1,0,0,0,0,0,0,0,0,0,0,0,0,Gujarat Lions,2017
HM Amla,10,10,3,420,104,60.00,288,145.83,2,2,1,40,17,Kings XI Punjab,2017
CJ Anderson,11,11,4,142,41,20.28,123,115.44,0,0,1,8,9,Delhi Daredevils,2017
Ankit Sharma,1,1,0,25,25,25.00,15,166.66,0,0,0,2,1,Rising Pune Supergiant,2017
Ankit Soni,7,3,1,7,7,3.50,9,77.77,0,0,2,0,1,Gujarat Lions,2017
Anureet Singh,1,1,0,15,15,15.00,12,125.00,0,0,0,2,0,Kings XI Punjab,2017
S Aravind,10,8,4,32,9,8.00,40,80.00,0,0,2,2,0,Royal Challengers Bangalore,2017
Avesh Khan,1,0,0,0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,2017
S Badree,7,5,0,13,8,2.60,23,56.52,0,0,2,0,0,Royal Challengers Bangalore,2017
Basil Thampi,12,5,5,28,13,0,28,100.00,0,0,0,1,1,Gujarat Lions,2017
R Bhatia,3,2,1,16,16,16.00,17,94.11,0,0,0,0,1,Rising Pune Supergiant,2017
SW Billings,6,6,0,138,55,23.00,104,132.69,0,1,1,19,1,Delhi Daredevils,2017
STR Binny,8,7,2,78,18,15.60,76,102.63,0,0,0,6,3,Royal Challengers Bangalore,2017
Bipul Sharma,7,3,2,31,21,31.00,24,129.16,0,0,0,2,1,Sunrisers Hyderabad,2017
TA Boult,6,1,1,5,5,0,8,62.50,0,0,0,0,0,Kolkata Knight Riders,2017
CR Brathwaite,2,2,0,12,11,6.00,15,80.00,0,0,0,2,0,Delhi Daredevils,2017
DM Bravo,1,1,1,6,6,0,5,120.00,0,0,0,1,0,Kolkata Knight Riders,2017
JJ Bumrah,16,2,1,16,16,16.00,12,133.33,0,0,1,0,1,Mumbai Indians,2017
JC Buttler,10,10,0,272,77,27.20,177,153.67,0,1,0,27,15,Mumbai Indians,2017
KC Cariappa,4,2,0,2,1,1.00,7,28.57,0,0,0,0,0,Kings XI Punjab,2017
YS Chahal,13,6,3,13,4,4.33,26,50.00,0,0,1,0,0,Royal Challengers Bangalore,2017
DL Chahar,3,1,0,14,14,14.00,6,233.33,0,0,0,0,2,Rising Pune Supergiant,2017
RD Chahar,3,1,1,3,3,0,2,150.00,0,0,0,0,0,Rising Pune Supergiant,2017
PP Chawla,6,1,0,2,2,2.00,6,33.33,0,0,0,0,0,Kolkata Knight Riders,2017
A Choudhary,5,3,2,25,15,25.00,20,125.00,0,0,0,1,1,Royal Challengers Bangalore,2017
DT Christian,13,9,4,79,17,15.80,49,161.22,0,0,0,5,5,Rising Pune Supergiant,2017
NM Coulter-Nile,8,3,0,14,6,4.66,12,116.66,0,0,0,0,2,Kolkata Knight Riders,2017
PJ Cummins,12,9,4,77,24,15.40,53,145.28,0,0,0,5,4,Delhi Daredevils,2017
BCJ Cutting,4,3,1,51,20,25.50,26,196.15,0,0,0,5,3,Sunrisers Hyderabad,2017
C de Grandhomme,12,9,1,126,36,15.75,92,136.95,0,0,3,10,6,Kolkata Knight Riders,2017
AB de Villiers,9,9,1,216,89,27.00,163,132.51,0,1,0,12,16,Royal Challengers Bangalore,2017
S Dhawan,14,14,1,479,77,36.84,376,127.39,0,3,0,53,9,Sunrisers Hyderabad,2017
MS Dhoni,16,15,4,290,61,26.36,250,116.00,0,1,0,15,16,Rising Pune Supergiant,2017
AB Dinda,3,1,0,7,7,7.00,7,100.00,0,0,0,1,0,Rising Pune Supergiant,2017
F du Plessis,2,1,0,8,8,8.00,7,114.28,0,0,0,1,0,Rising Pune Supergiant,2017
JP Faulkner,8,6,2,54,21,13.50,57,94.73,0,0,0,4,0,Gujarat Lions,2017
LH Ferguson,4,1,1,1,1,0,1,100.00,0,0,0,0,0,Rising Pune Supergiant,2017
AJ Finch,13,13,1,299,72,24.91,180,166.11,0,2,1,25,19,Gujarat Lions,2017
G Gambhir,16,16,4,498,76,41.50,389,128.02,0,4,0,62,7,Kolkata Knight Riders,2017
CH Gayle,9,9,0,200,77,22.22,163,122.69,0,1,2,15,14,Royal Challengers Bangalore,2017
MS Gony,1,0,0,0,0,0,0,0,0,0,0,0,0,Gujarat Lions,2017
MJ Guptill,7,7,1,132,50,22.00,88,150.00,0,1,1,17,5,Kings XI Punjab,2017
Gurkeerat Singh,2,0,0,0,0,0,0,0,0,0,0,0,0,Kings XI Punjab,2017
Harbhajan Singh,11,7,5,16,7,8.00,16,100.00,0,0,1,0,1,Mumbai Indians,2017
TM Head,7,7,2,151,75,30.20,108,139.81,0,1,1,9,6,Royal Challengers Bangalore,2017
MC Henriques,12,11,5,277,55,46.16,203,136.45,0,3,0,28,4,Sunrisers Hyderabad,2017
MJ Henry,2,0,0,0,0,0,0,0,0,0,0,0,0,Kings XI Punjab,2017
DJ Hooda,10,6,3,78,19,26.00,52,150.00,0,0,0,5,4,Sunrisers Hyderabad,2017
Imran Tahir,12,1,1,0,0,0,2,0.00,0,0,0,0,0,Rising Pune Supergiant,2017
Iqbal Abdulla,2,1,1,5,5,0,7,71.42,0,0,0,0,0,Royal Challengers Bangalore,2017
