Player,Mat,Inns,Balls,Runs,Wkts,Ave,Econ,SR
PP Shaw,9,0,0,0,0,0,0,0
KM Asif,4,4,84,134,8,16.75,9.57,10.5
Mujeeb Ur Rahman,46,46,1012,1166,49,23.79,6.91,20.6
JPR Scantlebury-Searles,48,29,432,625,26,24.03,8.68,16.6
Abhishek Sharma,3,0,0,0,0,0,0,0
Shubman Gill,13,0,0,0,0,0,0,0
RK Singh,31,3,36,79,1,79,13.16,36
Shivam Mavi,9,9,168,270,5,54,9.64,33.6
IS Sodhi,18,114,2415,3089,131,23.58,7.67,18.4
AD Hales,191,2,3,7,0,0,14,0
E Lewis,111,0,0,0,0,0,0,0
MA Wood,22,22,447,615,25,24.6,8.25,17.8
P Chopra,29,0,0,0,0,0,0,0
LE Plunkett,136,130,2587,3460,122,28.36,8.02,21.2
KK Ahmed,15,15,348,417,20,20.85,7.18,17.4
TK Curran,65,64,1300,1878,71,26.45,8.66,18.3
M Prasidh Krishna,10,10,228,338,14,24.14,8.89,16.2
K Gowtham,42,42,732,891,31,28.74,7.3,23.6
SP Goswami,78,0,0,0,0,0,0,0
DJ Willey,164,142,2754,3629,158,22.96,7.9,17.4
H Klaasen,55,0,0,0,0,0,0,0
L Ngidi,49,48,908,1059,57,18.57,6.99,15.9
JC Archer,66,63,1423,1927,87,22.14,8.12,16.3
A Dananjaya,55,51,1090,1312,56,23.42,7.22,19.4
RK Bhui,28,0,0,0,0,0,0,0
M Markande,18,18,360,487,20,24.35,8.11,18
S Lamichhane,12,12,234,279,14,19.92,7.15,16.7
CJ Dala,55,53,967,1323,53,24.96,8.2,18.2
K Khejroliya,13,13,287,350,16,21.87,7.31,17.9
B Laughlin,124,122,2565,3387,157,21.57,7.92,16.3
DR Shorey,17,0,0,0,0,0,0,0
DJM Short,41,22,260,359,10,35.9,8.28,26
MK Lomror,20,15,169,243,4,60.75,8.62,42.2
MM Ali,126,103,1817,2330,84,27.73,7.69,21.6